timestamp,open,high,low,close,volume
1735768800000,1.03503,1.03577,1.03483,1.0355,1424.05
1735772400000,1.0355,1.03563,1.03462,1.03516,4299.22
1735776000000,1.03508,1.03564,1.03472,1.0352,3681.37
1735779600000,1.03521,1.03606,1.03442,1.03578,5012.45
1735783200000,1.03577,1.03712,1.03577,1.03709,2791.47
1735786800000,1.03711,1.0374,1.03682,1.03715,2841.43
1735790400000,1.03716,1.03756,1.03664,1.03692,3258.29
1735794000000,1.03693,1.03706,1.03617,1.03638,3270.95
1735797600000,1.03637,1.0365,1.03599,1.03637,4088.88
1735801200000,1.03637,1.03723,1.03623,1.03627,7887.04
1735804800000,1.03628,1.03709,1.03461,1.03627,10541.26
1735808400000,1.03626,1.03701,1.03493,1.03515,8305.82
1735812000000,1.03514,1.03568,1.03135,1.03168,11754.01
1735815600000,1.03166,1.0334,1.0315,1.03321,8416.75
1735819200000,1.03321,1.03342,1.03148,1.03182,7464.61
1735822800000,1.03181,1.03296,1.03112,1.03133,13737.75
1735826400000,1.03134,1.03239,1.03021,1.03038,21387.24
1735830000000,1.03037,1.03087,1.02725,1.02741,37011.21
1735833600000,1.0274,1.02762,1.02237,1.02611,30637.33
1735837200000,1.02611,1.02679,1.02513,1.02648,9298.48
1735840800000,1.02651,1.02662,1.02557,1.02563,5043.25
1735844400000,1.02563,1.02595,1.02477,1.0251,4391.68
1735848000000,1.02511,1.02645,1.02506,1.02613,3247.97
1735851600000,1.02613,1.02687,1.02612,1.0264,1650.76
1735855200000,1.0264,1.02666,1.02612,1.02651,2020.85
1735858800000,1.0265,1.0268,1.02646,1.02678,1484.13
1735862400000,1.02679,1.02734,1.02659,1.02729,1831.17
1735866000000,1.02728,1.02728,1.02665,1.02674,2175.54
1735869600000,1.02674,1.02745,1.02668,1.02722,2348.2
1735873200000,1.02723,1.02743,1.02687,1.02707,1720.3
1735876800000,1.02706,1.02709,1.0267,1.02695,1501.11
1735880400000,1.02696,1.02736,1.02646,1.02717,1851.39
1735884000000,1.02717,1.02793,1.02715,1.0279,1726.77
1735887600000,1.0279,1.02847,1.02687,1.02807,7476.3
1735891200000,1.02806,1.0288,1.02729,1.02803,8555.53
1735894800000,1.02803,1.02999,1.02802,1.02901,14081.7
1735898400000,1.02901,1.02938,1.02791,1.02813,9738.99
1735902000000,1.02813,1.03028,1.02813,1.02972,5904.87
1735905600000,1.02971,1.03009,1.02942,1.02956,7084.08
1735909200000,1.02958,1.03001,1.02915,1.02931,8744.24
1735912800000,1.02931,1.03023,1.0288,1.03002,9042.24
1735916400000,1.03001,1.03057,1.02729,1.02891,16277.81
1735920000000,1.02891,1.02997,1.02835,1.02907,6981.54
1735923600000,1.02908,1.03057,1.02908,1.02979,7008.82
1735927200000,1.02979,1.03021,1.02924,1.02973,7054.63
1735930800000,1.02971,1.03059,1.02937,1.03012,2719.23
1735934400000,1.03011,1.03075,1.02987,1.03059,2875.47
1735938000000,1.03058,1.03099,1.03047,1.03066,2169.95
1736114400000,1.03015,1.03062,1.02932,1.03009,943.34
1736118000000,1.03009,1.0308,1.03009,1.03051,1317.5
1736121600000,1.03051,1.03053,1.02955,1.03031,3089.95
1736125200000,1.03031,1.03136,1.03012,1.03123,3216.42
1736128800000,1.03123,1.03177,1.03107,1.0316,2911.94
1736132400000,1.0316,1.03182,1.0313,1.03163,1958.95
1736136000000,1.03162,1.03175,1.03128,1.03151,1553.36
1736139600000,1.03151,1.03181,1.03084,1.03088,2980.83
1736143200000,1.03087,1.03165,1.03076,1.03125,3476.02
1736146800000,1.03127,1.03284,1.03099,1.03272,5211.63
1736150400000,1.03274,1.03525,1.03267,1.035,10591.84
1736154000000,1.03499,1.03688,1.03401,1.03554,12552.32
1736157600000,1.03556,1.0358,1.0335,1.0335,6599.88
1736161200000,1.03349,1.04325,1.03287,1.04217,27467.57
1736164800000,1.04218,1.04305,1.0392,1.04108,15153.59
1736168400000,1.04112,1.04367,1.04043,1.04167,16759.99
1736172000000,1.04168,1.04237,1.03527,1.03925,39136.05
1736175600000,1.03925,1.03987,1.03712,1.03935,31925.13
1736179200000,1.03936,1.04027,1.03854,1.03967,20431.35
1736182800000,1.03968,1.03968,1.03793,1.03873,15087.25
1736186400000,1.03873,1.03892,1.0377,1.03818,5131.56
1736190000000,1.03819,1.03917,1.03788,1.03882,4898.73
1736193600000,1.03883,1.03919,1.03859,1.03877,3984.57
1736197200000,1.03879,1.03921,1.0386,1.03895,2118.4
1736200800000,1.03893,1.03909,1.0385,1.0389,1152.07
1736204400000,1.0389,1.03901,1.03816,1.03831,1880.37
1736208000000,1.03831,1.03853,1.03771,1.03842,2284.89
1736211600000,1.03841,1.03846,1.03761,1.03811,3323.52
1736215200000,1.03811,1.03853,1.03799,1.03822,2792.33
1736218800000,1.03821,1.03929,1.038,1.03927,2262.16
1736222400000,1.03927,1.03943,1.03905,1.03917,1380.39
1736226000000,1.03918,1.04031,1.03909,1.03967,2898.51
1736229600000,1.03967,1.04041,1.03963,1.03974,3076.59
1736233200000,1.03975,1.04244,1.03975,1.04145,8478.33
1736236800000,1.04147,1.04253,1.04031,1.0425,11938.91
1736240400000,1.04252,1.04342,1.0424,1.04274,7876.99
1736244000000,1.04274,1.04343,1.04166,1.04278,10947.14
1736247600000,1.04278,1.04282,1.04051,1.04133,12060.73
1736251200000,1.04134,1.04168,1.03871,1.03892,25225.08
1736254800000,1.03891,1.04052,1.03866,1.03965,17976.24
1736258400000,1.03965,1.03975,1.03892,1.03925,24471.94
1736262000000,1.03929,1.03929,1.03551,1.03727,54210.77
1736265600000,1.03727,1.03811,1.03625,1.03681,26774.15
1736269200000,1.03681,1.03738,1.03537,1.03667,11025.84
1736272800000,1.03666,1.03692,1.03493,1.03543,9842.09
1736276400000,1.03543,1.03596,1.0352,1.03551,7712.2
1736280000000,1.0355,1.0356,1.0344,1.03443,10007.63
1736283600000,1.03443,1.03443,1.03394,1.03394,2769.98
1736287200000,1.03395,1.03426,1.03388,1.03421,997.71
1736290800000,1.03421,1.03449,1.03391,1.03415,3226.41
1736294400000,1.03416,1.03492,1.03416,1.03467,7370.74
1736298000000,1.03468,1.03529,1.03452,1.03528,7333.77
1736301600000,1.03529,1.03547,1.03514,1.03541,4801.65
1736305200000,1.03541,1.03541,1.03462,1.03477,4054.18
1736308800000,1.03476,1.0352,1.03474,1.03512,3366.99
1736312400000,1.03512,1.03557,1.03495,1.03549,3712.01
1736316000000,1.03549,1.03575,1.03461,1.03512,7154.87
1736319600000,1.03512,1.03513,1.03285,1.03324,20824.17
1736323200000,1.03324,1.03397,1.03179,1.03187,21105.98
1736326800000,1.03187,1.03263,1.03154,1.03194,18799.01
1736330400000,1.03193,1.03211,1.031,1.03191,11658.07
1736334000000,1.03189,1.03198,1.02731,1.02976,29997.39
1736337600000,1.02975,1.03001,1.02808,1.02827,26657.09
1736341200000,1.02825,1.03042,1.02808,1.03033,39099.51
1736344800000,1.03033,1.03075,1.0289,1.02914,23381.42
1736348400000,1.02913,1.03098,1.02913,1.03016,25304.73
1736352000000,1.03017,1.03144,1.02944,1.03125,20954.08
1736355600000,1.03127,1.03133,1.02982,1.03053,17047.52
1736359200000,1.03053,1.03158,1.03053,1.03124,6284.73
1736362800000,1.03126,1.03242,1.03081,1.0309,6518.85
1736366400000,1.03091,1.03167,1.03079,1.0316,3777.67
1736370000000,1.03161,1.03196,1.03146,1.03178,1393.65
1736373600000,1.03178,1.03181,1.03156,1.03178,584.34
1736377200000,1.03178,1.03186,1.03132,1.03132,1012.17
1736380800000,1.03133,1.03147,1.03049,1.03131,6156.76
1736384400000,1.03131,1.03173,1.03114,1.03143,6888.05
1736388000000,1.03144,1.032,1.03141,1.03165,4782.01
1736391600000,1.03165,1.03214,1.03108,1.0311,4884.17
1736395200000,1.03109,1.03123,1.03056,1.0309,4975.49
1736398800000,1.03089,1.03125,1.03053,1.03066,6677.79
1736402400000,1.03065,1.03082,1.0297,1.03002,9647.53
1736406000000,1.03001,1.03082,1.02877,1.02909,13921.11
1736409600000,1.0291,1.03076,1.02836,1.03076,22986.57
